joint1_rad,joint4_rad,sigma_min,manipulability,cond
-1.396263,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
-1.19264125,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
-0.9890194999999999,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
-0.78539775,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
-0.581776,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
-0.3781542499999999,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
-0.17453249999999998,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
0.029089250000000177,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
0.2327110000000001,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
0.43633275000000005,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
0.6399545000000002,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
0.8435762500000001,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
1.047198,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
1.25081975,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
1.4544415000000004,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
1.6580632500000003,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
1.8616850000000003,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
2.0653067500000004,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
2.2689285000000003,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
2.4725502500000003,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
2.676172,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
2.87979375,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
3.0834155,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
3.28703725,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
3.490659,0.0,7.185763611658604e-17,2.8563043544810126e-10,2.3143437469315644e+16
-1.396263,0.1527163125,0.012184077056840676,0.0027215876670292206,136.39977912279153
-1.19264125,0.1527163125,0.012184077056840676,0.0027215876670292206,136.39977912279153
-0.9890194999999999,0.1527163125,0.012184077056840676,0.0027215876670292206,136.39977912279153
-0.78539775,0.1527163125,0.012184077056840676,0.0027215876670292206,136.39977912279153
-0.581776,0.1527163125,0.012184077056840676,0.0027215876670292206,136.39977912279153
-0.3781542499999999,0.1527163125,0.012184077056840676,0.0027215876670292206,136.39977912279153
-0.17453249999999998,0.1527163125,0.012184077056840676,0.0027215876670292206,136.39977912279153
0.029089250000000177,0.1527163125,0.012184077056840676,0.0027215876670292206,136.39977912279153
0.2327110000000001,0.1527163125,0.012184077056840676,0.0027215876670292206,136.39977912279153
0.43633275000000005,0.1527163125,0.012184077056840676,0.0027215876670292206,136.39977912279153
0.6399545000000002,0.1527163125,0.012184077056840676,0.0027215876670292206,136.39977912279153
0.8435762500000001,0.1527163125,0.012184077056840676,0.0027215876670292206,136.39977912279153
1.047198,0.1527163125,0.012184077056840676,0.0027215876670292206,136.39977912279153
